"exp","age_group","i","j","k"
1,"young",0,11,14
1,"young",1,7,8
1,"young",2,11,3
1,"young",3,2,0
1,"young",4,15,10
1,"young",5,9,12
1,"young",6,2,9
1,"young",7,12,15
1,"young",4,9,1
1,"young",8,2,9
1,"young",6,5,10
1,"young",9,7,14
1,"young",10,12,0
1,"young",1,9,12
1,"young",2,3,13
1,"young",11,14,15
1,"young",10,3,15
1,"young",3,0,1
1,"young",12,15,4
1,"young",4,11,5
1,"young",7,10,3
1,"young",6,0,12
1,"young",13,12,9
1,"young",11,15,10
1,"young",4,7,6
1,"mid",0,15,4
1,"mid",1,8,3
1,"mid",2,15,12
1,"mid",3,8,2
1,"mid",4,9,0
1,"mid",5,9,1
1,"mid",6,3,5
1,"mid",7,12,11
1,"mid",4,3,1
1,"mid",8,2,10
1,"mid",6,13,4
1,"mid",9,11,5
1,"mid",10,5,0
1,"mid",1,2,9
1,"mid",2,1,0
2,"young",0,8,9
2,"young",1,9,14
2,"young",2,8,3
2,"young",3,8,0
2,"young",4,14,8
2,"young",5,10,3
2,"young",6,15,14
2,"young",7,15,14
2,"young",4,6,12
2,"young",8,1,6
2,"young",6,0,3
2,"young",9,4,11
2,"young",10,13,11
2,"young",1,10,2
2,"young",2,7,15
2,"young",11,12,3
2,"young",10,5,1
2,"young",3,13,9
2,"young",12,11,0
2,"young",4,12,9
2,"young",7,12,0
2,"young",6,0,7
2,"young",13,15,8
2,"young",11,5,10
2,"young",4,10,2
2,"young",12,8,6
2,"young",8,2,10
2,"young",1,3,7
2,"young",8,4,0
2,"young",8,12,6
2,"young",5,10,13
2,"young",1,8,6
2,"young",8,5,3
2,"young",11,9,10
2,"young",13,4,0
2,"young",14,2,7
2,"young",6,13,10
2,"young",5,0,3
2,"young",15,1,9
2,"young",5,15,7
2,"young",5,13,2
2,"young",15,10,9
2,"young",3,10,7
2,"young",0,14,12
2,"young",9,5,12
2,"young",9,8,13
2,"young",13,8,10
2,"young",14,15,6
2,"young",2,11,4
2,"young",1,3,11
2,"young",2,7,8
2,"young",14,10,13
2,"young",14,2,10
2,"young",9,11,1
2,"young",7,15,8
2,"young",13,12,1
2,"young",6,0,9
2,"young",7,11,15
2,"young",3,1,9
2,"young",13,5,10
2,"young",15,7,2
2,"young",1,11,0
2,"young",13,1,4
2,"young",10,13,11
2,"young",9,5,7
2,"young",7,5,15
2,"young",6,11,10
2,"young",15,5,10
2,"young",0,4,3
2,"young",11,10,13
2,"young",15,10,5
2,"young",0,14,5
2,"young",12,1,8
2,"young",3,13,15
2,"young",12,13,10
2,"young",2,3,0
2,"young",4,0,11
2,"mid",0,7,6
2,"mid",1,15,6
2,"mid",2,11,3
2,"mid",4,3,7
2,"mid",5,1,3
2,"mid",6,2,5
2,"mid",7,15,4
2,"mid",4,12,10
2,"mid",8,9,11
2,"mid",6,7,8
2,"mid",9,8,0
2,"mid",10,3,7
2,"mid",1,12,6
2,"mid",2,6,1
2,"mid",11,15,9
2,"mid",10,2,1
2,"mid",3,9,12
2,"mid",12,13,9
2,"mid",4,15,0
2,"mid",7,2,13
2,"mid",6,0,3
2,"mid",13,12,15
2,"mid",11,0,9
2,"mid",4,8,7
2,"mid",12,15,4
2,"mid",8,6,10
2,"mid",0,5,11
2,"mid",1,3,12
2,"mid",8,12,7
2,"mid",8,0,11
2,"mid",5,8,3
2,"mid",1,5,10
2,"mid",8,2,6
2,"mid",11,7,10
2,"mid",13,8,9
2,"mid",14,13,9
2,"mid",6,15,4
2,"mid",5,2,10
2,"mid",15,9,11
2,"mid",5,10,14
2,"mid",5,7,4
2,"mid",15,14,13
2,"mid",3,9,7
2,"mid",0,14,7
2,"mid",9,14,1
2,"mid",9,4,5
2,"mid",13,1,7
2,"mid",14,1,8
2,"mid",2,8,9
2,"mid",1,12,11
2,"mid",2,9,0
2,"mid",14,0,10
2,"mid",14,4,15
2,"mid",9,7,12
2,"mid",7,10,2
2,"mid",13,5,9
2,"mid",6,12,2
2,"mid",7,3,9
2,"mid",3,6,11
2,"mid",13,2,11
2,"mid",15,8,5
2,"mid",1,14,2
2,"mid",13,8,1
2,"mid",10,9,8
2,"mid",9,15,6
2,"mid",7,12,4
2,"mid",15,13,2
2,"mid",0,4,9
2,"mid",11,12,3
2,"mid",15,7,9
2,"mid",0,14,6
2,"mid",12,15,4
2,"mid",3,15,5
2,"mid",12,8,11
2,"mid",2,8,14
2,"mid",4,7,1
2,"mid",10,3,4
2,"mid",14,7,5
2,"mid",10,9,11
2,"mid",3,0,2
2,"mid",14,2,5
2,"mid",8,0,14
2,"mid",10,2,14
2,"mid",11,5,14
2,"mid",12,11,0
2,"mid",7,14,8
2,"mid",0,11,2
2,"mid",9,2,10
2,"mid",12,9,1
2,"mid",15,11,9
2,"mid",11,5,1
2,"mid",5,12,4
2,"mid",2,12,3
2,"mid",4,0,10
2,"mid",2,14,11
2,"mid",10,9,4
2,"mid",10,9,4
2,"mid",0,3,9
2,"mid",0,9,3
2,"mid",2,14,6
2,"mid",4,12,5
2,"mid",3,7,4
