"","exp","subid","date","time","gender","age","age_group","prop_correct","total_words"
"1",1,"p001","3/11/17","13:49","m",6.93,"middle",1,28
"2",1,"p002","3/11/17","14:14","f",3.29,"young",0.5,15
"3",1,"p003","3/11/17","14:33","m",5.95,"middle",1,26
"4",1,"p004","3/11/17","13:25","f",4.5,"young",1,15
"5",1,"p004","3/11/17","14:57","f",4.5,"young",1,15
"6",1,"p005","3/11/17","14:49","m",3.65,"young",1,5
"7",1,"p007","3/11/17","14:59","f",3.27,"young",0.5,12
"8",1,"p009","3/11/17","15:21","m",6.23,"middle",1,37
"9",1,"p006","3/11/17","16:29","f",4.51,"young",0.5,0
"10",2,"p010","3/18/17","13:26","f",4.15,"young",1,23
"11",2,"p011","3/18/17","14:13","m",5.72,"middle",1,18
"12",2,"p011","3/18/17","14:34","m",5.72,"middle",1,21
"13",2,"p012","3/18/17","14:41","m",5.63,"middle",1,24
"14",2,"p013","3/18/17","14:55","f",3.13,"young",0.5,11
"15",2,"p014","3/18/17","15:29","m",5.36,"middle",1,14
"16",2,"p015","3/18/17","15:46","m",6.86,"middle",1,9
"17",2,"p016","3/18/17","15:59","m",4.91,"young",1,20
"18",2,"p017","3/18/17","16:06","m",6.92,"middle",1,24
"19",2,"p018","3/18/17","16:30","m",4.24,"young",0.5,13
"20",2,"p020","3/21/17","12:33","m",3.72,"young",1,26
"21",2,"p021","3/21/17","13:01","f",5.31,"middle",1,8
"22",2,"p019","3/21/17","11:39","m",4.89,"young",1,13
"23",2,"p023","3/22/17","14:40","f",6.78,"middle",1,29
"24",2,"p024","3/22/17","15:00","f",3.62,"young",1,22
"25",NA,"p025",NA,NA,"m",7.17,"old",1,NA
"26",2,"p026","3/22/17","15:29","m",3.72,"young",0,25
"27",2,"p027","3/22/17","16:08","m",3.29,"young",1,14
"28",2,"p028","3/23/17","11:40","f",3.76,"young",1,23
"29",NA,"p030",NA,NA,"m",7.15,"old",1,NA
"30",2,"p031","3/23/17","12:30","f",3.79,"young",1,38
"31",NA,"p032",NA,NA,"m",5.16,"middle",0.5,NA
"32",NA,"p033",NA,NA,"f",7.63,"old",1,NA
"33",2,"p034","3/31/17","14:00","f",4.71,"young",0.5,7
"34",2,"p035","3/31/17","14:29","m",3.13,"young",1,2
"35",2,"p036","3/31/17","14:59","m",7.78,"old",1,14
"36",2,"p037","3/31/17","15:10","m",5.02,"middle",1,30
"37",2,"p038","3/31/17","15:15","m",8.91,"old",1,35
"38",2,"p039","3/31/17","15:39","f",6.08,"middle",1,33
"39",2,"p040","3/31/17","16:14","m",4.78,"young",1,7
"40",2,"p041","3/31/17","16:39","m",8.96,"old",1,12
"41",2,"p042","1/15/09","18:04","f",8.04,"old",1,15
"42",2,"p043","4/1/17","13:56","f",7.28,"old",1,12
"43",2,"p044","1/15/09","18:10","m",6.68,"middle",1,11
"44",2,"p045","4/1/17","14:04","m",6.78,"middle",1,40
"45",2,"p046","1/15/09","18:22","m",4.44,"young",0.5,21
"46",2,"p047","4/1/17","14:15","m",4.33,"young",0.5,9
"47",2,"p048","1/15/09","18:26","m",6.29,"middle",1,24
"48",2,"p049","4/1/17","14:40","f",6.6,"middle",1,39
"49",NA,"p050",NA,NA,"m",7.41,"old",1,NA
"50",2,"p051","4/1/17","14:46","m",5.6,"middle",1,40
"51",2,"p052","1/15/09","19:10","f",3.17,"young",0.5,4
"52",2,"p053","4/1/17","14:52","f",6.67,"middle",1,12
"53",2,"p055","4/1/17","15:27","m",4.84,"middle",1,20
"54",2,"p057","4/1/17","15:48","f",3.58,"young",1,8
"55",2,"p059","4/1/17","15:55","f",6.95,"middle",1,40
"56",2,"p063","4/1/17","16:19","m",6.48,"middle",1,10
"57",2,"p202","3/30/17","15:21","",NA,"middle",0.5,40
"58",NA,"p203",NA,NA,"",NA,"old",1,NA
"59",NA,"p029",NA,NA,NA,NA,NA,0.5,NA
